CURRENT_DEPARTMENT,CURRENT_JOB_TITLE,PREVIOUS_DEPARTMENT,PREVIOUS_JOB_TITLE,COURSE,DATE,SKILL
Enterprise Business,Enterprise Presales Specialist,Enterprise Business,Enterprise Presales Team Member,Digital Transformation,2022-04-12T23:53:18.000Z,
Engineering,FTTH Activation Engineer Senior Team Member,Engineering,FTTH Activation Engineer PT,Forecasting Skills: See the Future Before it Happens,2022-04-05T11:05:53.000Z,
Engineering,Core Network Switching Engineer Professional,Engineering,Core Network Switching Engineer,Fundamentals of Project Planning and Management,2023-11-01T07:04:06.000Z,
Consumer Business,Business Simulation Senior Specialist,Consumer Business,Business Simulation Team Leader ,Data Management and Visualization,2022-08-17T23:09:51.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Senior Team Member,Commercial Support Department,Help Desk Broadband Team Member,Teamwork Skills: Communicating Effectively in Groups,2023-10-05T08:46:58.000Z,
Corporate Communications and Sustainability,CER Team Member,Corporate Communications and Sustainability,CER Team Member /Zinc,"Speak English Professionally: In Person, Online & On the Phone",2023-07-18T02:37:08.000Z,
Consumer Business,GSM Postpaid Segment Senior Team Member,Consumer Business,GSM Postpaid Segment Team Member,Quantitative Methods in Finance,2021-11-15T12:28:26.000Z,
Engineering,Transmission Senior Division Leader,Engineering,Transmission Expert E,Fundamentals of Project Planning and Management,2023-05-10T08:56:41.000Z,
Commercial Support Department,Collection Account's Senior Team Member,Commercial Support Department,Collection Account's Manager,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2022-03-07T06:28:43.000Z,
Strategy & PMO,Strategy Senior Manager / TT,,PMO & Governance Manager,Introduction to Data Analytics,2022-07-28T06:05:45.000Z,
,,,,Fundamentals of Project Planning and Management,2022-11-09T18:03:46.000Z,
Commercial Support Department,Complaints Excellence & Quality Assurance Senior Professional,Commercial Support Department,Help Desk GSM Professional,Introduction to Data Analytics,2023-11-14T14:10:49.000Z,
Engineering,IP & Transport NOC Engineer Senior Team Member,Engineering,NOC Engineer,Graphic Design,2023-09-19T00:00:16.000Z,
Engineering,Project Implementation Civil Engineer Senior Team Member,Engineering,Project Implementation Civil Engineer TM,Teamwork Skills: Communicating Effectively in Groups,2023-10-28T20:47:25.000Z,
Engineering,RAN Optimization Senior Division Leader,Engineering,RAN Optimization Team Leader ,International and Cross-Cultural Negotiation,2022-02-13T08:58:04.000Z,
,,Corporate Communications and Sustainability,CER Team Member,"Foundations: Data, Data, Everywhere",2022-06-09T16:11:58.000Z,
Engineering,RAN Optimization Senior Division Leader,Engineering,RAN  Optimization Expert,Negotiation  Fundamentals,2022-01-19T08:28:40.000Z,
Enterprise Business,Electro Mechanical Data Centre Engineer Senior Division Leader,Enterprise Business,Electro Mechanical Data Centre Engineer TM,Digital Transformation,2022-05-29T07:44:54.000Z,
Consumer Business,Prepaid GSM Senior Professional,Engineering,VAS Products Management Professional,Data Management and Visualization,2022-05-26T10:09:26.000Z,
Engineering,RAN Implementation Senior Team Member,Engineering,RAN Implementation Team Member.-,Fundamentals of Project Planning and Management,2023-07-13T08:18:06.000Z,
Human Resources and Administration,HR Communications and Youth Team Member,Human Resources and Administration,HR Communications and Youth Team Member,Diversity and Inclusion for HR Professionals,2022-11-15T14:55:17.000Z,
Enterprise Business,SMEs/SOHOs Account's Professional,Enterprise Business,SMEs/SOHOs  Account's Manager,Take Your English Communication Skills to the Next Level,2021-11-30T01:25:55.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Manager,Commercial Support Department,Help Desk Broadband Team Leader,Graphic Design,2022-08-03T07:00:11.000Z,
Consumer Business,Airport Shop Senior Division Leader,Consumer Business,Airport Shop Manager E,Coaching Practices,2022-01-13T19:42:58.000Z,
Consumer Business,"Pricing, Marketing Research & Business Intelligence Manager",Consumer Business,Pricing & Business Planning Team Leader,Quantitative Methods in Finance,2022-02-04T08:20:26.000Z,
Data Analytics & AI,Data Operations Management Annual Team Member,,Operations Management Intern,Business Growth Strategy,2022-03-31T20:20:34.000Z,
Engineering,RAN Optimization Engineer Team Member,Engineering,RAN Optimization Engineer AT,"Capstone: Retrieving, Processing, and Visualizing Data with Python",2023-01-04T08:25:29.000Z,
Human Resources and Administration,Security and Control Senior Team Member,Human Resources and Administration,Security and Control Team Member,Negotiation  Fundamentals,2022-05-31T07:11:48.000Z,
Technology and Digital Innovation,Quality Assurance and Automation Senior Manager,Technology and Digital Innovation,Quality Assurance and Automation Manager,Introduction to Artificial Intelligence (AI),2023-10-13T21:33:30.000Z,
Consumer Business,CVM Campaigns Management Team Member,Consumer Business,System Development & Support Team Member,Digital Channel Planning and E-Commerce Strategy,2023-05-29T19:19:42.000Z,
Engineering,RAN Optimization Engineer Professional,Engineering,RAN Optimization Engineer,Foundations of Project Management,2023-09-13T07:39:58.000Z,
Corporate Communications and Sustainability,CER Team Member,Corporate Communications and Sustainability,CER Team Member AT,Python Data Structures,2022-07-14T06:29:14.000Z,
Technology and Digital Innovation,DevOps & Charging System Engineer Team Member,Technology and Digital Innovation,DevOps & Charging System Engineer,Introduction to Cloud Computing,2024-02-15T12:46:09.000Z,
Consumer Business,Consumer VIP Account's Professional,Consumer Business,Consumer VIP Account's Manager PR,Data Structures,2021-10-29T13:10:51.000Z,
Engineering,Network Performance Analyst Professional,Engineering,Network Performance Analyst Team Member,Databases and SQL for Data Science with Python,2021-10-21T09:35:27.000Z,
Commercial Support Department,Telesales Division Leader,Consumer Business,Safeway 7th Circle Consumer Sales Consultant AT,Managing Customer Expectations with Jagdish Sheth,2023-07-05T05:22:30.000Z,
,,Technology and Digital Innovation,DevOps & Billing Systems Engineer,IBM Cybersecurity Analyst Assessment ,2022-03-20T05:52:48.000Z,
Engineering,Transmission Enterprise solutions Engineer Team Member,Engineering,Transmission Enterprise solutions Engineer,"Capstone: Retrieving, Processing, and Visualizing Data with Python",2022-12-28T16:50:33.000Z,
Finance,Revenue Assurance Specialist,Finance,Revenue Assurance Team Member,The Art of Negotiation,2023-07-11T20:00:22.000Z,
Data Analytics & AI,Data Acquisition Senior Team Member,Data Analytics & AI,Data Acquisition Team Member,Predictive Analytics and Data Mining,2023-07-19T07:37:43.000Z,
Consumer Business,E-Commerce & Digital Transformation Team Member,,E-Commerce & Digital Transformation Intern,Introduction to Data Analytics,2022-03-27T17:12:16.000Z,
Finance,Technical Procurement Senior Team Member,Finance,Procurement Team Member,Foundations of Project Management,2023-09-14T07:18:37.000Z,
Consumer Business,Outdoor VIP Account Professional,Consumer Business,Airport Consumer Sales Consultant TM,Teamwork Skills: Communicating Effectively in Groups,2023-07-12T16:42:19.000Z,
Technology and Digital Innovation,Integration & Back End Manager,,Integration Team Leader,Developing an Agile Team,2022-09-07T10:03:40.000Z,
Commercial Support Department,Customer Service Solutions Development Senior Team Member,Commercial Support Department,Operation Planning and Development Team Member,Adaptability and Resiliency,2023-08-14T20:03:22.000Z,
Human Resources and Administration,HR Communications and Youth Professional,Human Resources and Administration,HR Communications and Youth PR,Data Science Methodology,2023-08-21T10:30:04.000Z,
"Governance, Risk, and Compliance",Threat Management Division Leader,,Information Security Analyst and Administrator,Cybersecurity Compliance Framework & System Administration,2021-10-21T16:40:53.000Z,
Commercial Support Department,Commercial Support & Quality Of Service Senior Team Member,Commercial Support Department,Commercial Support & Quality Of Service Team Member,Introduction to Data Analytics,2023-11-16T15:58:08.000Z,
Engineering,RAN Optimization Engineer Team Member,Engineering,RAN Optimization Engineer,Python Data Structures,2022-12-12T08:09:14.000Z,
Human Resources and Administration,Administrative Support Specialist,,General Services Team Leader,"Speak English Professionally: In Person, Online & On the Phone",2023-08-16T10:14:11.000Z,
Engineering,RAN Optimization Engineer Senior Team Member,Engineering,RAN Optimization Engineer,Using Python to Access Web Data,2022-12-12T19:28:24.000Z,
Engineering,FTTX Specialist,Engineering,Transmission Engineer Transport TM,Using Python to Access Web Data,2022-12-19T13:44:33.000Z,
Consumer Business,Flagship Consumer Sales Consultant Senior Team Member,Consumer Business,Tabrbour Consumer Sales Consultant,Write Professional Emails in English,2022-01-21T23:26:13.000Z,
Consumer Business,Online Sales & Special Project Specialist,Consumer Business,Online Sales & Special Project Team Member,Introduction to Data Analytics,2021-08-18T01:05:28.000Z,
Enterprise Business,Enterprise Presales Senior Specialist,Enterprise Business,Enterprise Presales Expert,Digital Transformation,2022-06-19T11:14:58.000Z,
Commercial Support Department,Fiber Activation & Save Team Member - PT,Commercial Support Department,FTTH Activation Team Member PT,Excel Skills for Business: Essentials,2023-07-11T13:37:27.000Z,
Engineering,RAN Optimization Engineer Specialist,Engineering,RAN Optimization Engineer,"Capstone: Retrieving, Processing, and Visualizing Data with Python",2022-12-18T11:21:57.000Z,
Technology and Digital Innovation,RPA Development Division Leader,Technology and Digital Innovation,RPA Developer, Unsupervised Machine Learning,2022-11-22T05:44:54.000Z,
Commercial Support Department,,Commercial Support Department,Customer Inteligence Team Member,Excel Fundamentals for Data Analysis,2022-02-12T07:30:16.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Senior Professional,Commercial Support Department,Help Desk GSM Professional,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2022-04-06T15:45:35.000Z,
Enterprise Business,Sales Back Office  Professional,Enterprise Business,Sales Back Office TM,Just Reading and Writing English 2,2022-09-27T06:05:30.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Team Member,Commercial Support Department,Help Desk Broadband Team Member AT,Graphic Design,2022-08-03T09:28:20.000Z,
Engineering,NOC Shift Professional,Engineering,NOC Engineer ,Graphic Design,2023-06-20T03:50:50.000Z,
Finance,Warehouse Management Senior Division Leader,Finance,Logistics Team Leader TLT,Personality Types at Work,2022-04-01T13:22:41.000Z,
Human Resources and Administration,HR Communications and Youth Team Member,Human Resources and Administration,HR Communications and Youth Team Member,Business Writing,2022-11-05T14:29:15.000Z,
Consumer Business,Business Simulation Senior Team Member,Commercial Support Department,Help Desk GSM AT,Business Writing,2022-09-07T06:10:27.000Z,
Consumer Business,Safeway Shmesani Consumer Sales Consultant Senior Professional,Consumer Business,Amman Mall Consumer Sales Consultant PR,Budgeting and Scheduling Projects,2022-12-08T13:34:54.000Z,
Enterprise Business,Sales Back Office  Senior Team Member,Enterprise Business,Sales Back Office,Introduction to Business Analytics: Communicating with Data ,2023-06-07T05:53:18.000Z,
Engineering,IP & Transport NOC Engineer Professional,Engineering,NOC Engineer,Write Professional Emails in English,2021-11-28T11:02:31.000Z,
,,Consumer Business,Business Simulation Team Member,Introduction to Data Analytics,2022-04-04T11:33:51.000Z,
Legal & Regulatory Affairs,Regulatory Affairs Senior Team Member,Consumer Business,Abdali Mall Consumer Sales Consultant TM,Business English: Meetings,2023-05-30T08:46:15.000Z,
Consumer Business,Sales Development Account Team Member,Consumer Business,Sales Development Account Manager TM,Quantitative Methods in Finance,2022-02-19T03:00:41.000Z,
Commercial Support Department,Customer Service Solutions Development Senior Team Member,Commercial Support Department,Operation Planning and Development Team Member,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2022-03-04T22:10:39.000Z,
"Governance, Risk, and Compliance",Internal Audit Team Member,"Governance, Risk, and Compliance",Internal Audit Team Member,Business Writing,2023-05-21T12:42:16.000Z,
Engineering,Sites Acquisition Specialist,Engineering,Sites Acquisition Professional,Negotiation  Fundamentals,2021-09-26T11:46:13.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Team Member,Commercial Support Department,Help Desk Enterprise Helper Team Member TM,Introduction to Data Analytics,2023-10-03T12:18:51.000Z,
Engineering,RAN Planning Engineer Senior Professional,Engineering,RAN Planning Engineer Team Member,Collaborative Foresight: How to Game the Future,2022-03-02T19:02:00.000Z,
Finance,Accounts Payable Senior Team Member,,Subsidiaries Team Member,Competitive Strategy,2021-11-12T20:14:10.000Z,
Consumer Business,Handsets & Devices Senior Division Leader,Consumer Business,Handsets & Devices Expert,Digital Transformation,2022-01-26T12:50:25.000Z,
Technology and Digital Innovation,Business Analysis Specialist,Technology and Digital Innovation,Business Analysis Team Member- TM,Practices of Digital Transformation,2021-08-24T12:53:11.000Z,
Enterprise Business,SMEs/SOHOs Account's Senior Professional,,SMEs/SOHOs  Account's Manager TM,Introduction to Business Analytics: Communicating with Data ,2023-05-21T08:20:02.000Z,
Finance,Fixed Assets and Inventory Division Leader,Finance,Fixed Assets and Inventory Team Leader ,Building Your Leadership Skills,2021-10-13T06:34:53.000Z,
Commercial Support Department,Consumer Services Collection Senior Division Leader,Commercial Support Department,Consumer Services Collection Expert,Excel Fundamentals for Data Analysis,2022-02-23T10:30:54.000Z,
Data Analytics & AI,Data Acquisition Team Member,Data Analytics & AI,Data Acquisition Team Member,Introduction to Digital Marketing,2021-11-10T11:41:36.000Z,
"Governance, Risk, and Compliance",,,Enterprise Risk Management Intern,Cybersecurity Capstone:  Breach Response Case Studies,2021-10-29T06:17:48.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Team Member,Commercial Support Department,Help Desk Broadband Team Member,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2022-06-27T08:05:12.000Z,
Consumer Business,Consumer Business PMO  Manager,,Pricing & Business Planning Team Member,Agile Organization,2022-09-27T06:39:14.000Z,
Technology and Digital Innovation,DevOps & Charging System Engineer Team Member,Commercial Support Department,Telesales Team Member PT,Programming for Everybody (Getting Started with Python),2021-08-28T01:02:05.000Z,
Commercial Support Department,Telesales Division Leader,,Safeway 7th Circle Consumer Sales Consultant AT,"Everyday Excel, Part 1",2022-10-09T18:24:13.000Z,
Finance,Revenue Assurance and Fraud Senior Manager,Finance,Revenue Assurance Team Leader,Corporate Strategy,2022-05-16T10:29:45.000Z,
Commercial Support Department,Collection Account's Senior Team Member,Commercial Support Department,Collection Account's Manager,"Speak English Professionally: In Person, Online & On the Phone",2023-06-01T06:46:53.000Z,
,,Engineering,RAN Optimization Engineer,Introduction to Data Analytics,2021-10-03T14:54:21.000Z,
Consumer Business,Sales Development Account Senior Team Member,Consumer Business,Sales Development Account Manager TM,Digital Channel Planning and E-Commerce Strategy,2023-11-15T10:18:42.000Z,
Consumer Business,Dealership & Partnership Professional,Consumer Business,Distribution Operations Team Member,Inspiring and Motivating Individuals,2023-05-04T02:45:08.000Z,
Engineering,RAN Maintenance Engineer Senior Professional,Engineering,RAN Maintenance Engineer,Simulation Skills: This is Your Brain on the Future,2022-04-23T17:31:25.000Z,
Data Analytics & AI,,Data Analytics & AI,Data Acquisition Team Member,Fundamentals of Finance,2021-11-10T11:25:21.000Z,
,,Finance,Accounts Payable Team Member,Getting Started with Power BI Desktop,2021-08-07T21:09:47.000Z,
Commercial Support Department,Commercial Support & Quality Of Service Professional,Commercial Support Department,Commercial Support & Quality Of Service Professional,Successful Presentation,2021-11-14T10:58:04.000Z,
Engineering,Backbone & Optical Network Team Member,Engineering,Backbone & Optical Network Team Member,Using Databases with Python,2023-03-09T07:03:00.000Z,
Human Resources and Administration,HR Operations Professional,Human Resources and Administration,HR Operations Team Member,Introduction to Data Analytics,2022-11-12T11:12:28.000Z,
Enterprise Business,Network Administrator Senior Team Member,Enterprise Business,Network Administrator TM,Digital Transformation,2022-09-14T22:46:37.000Z,
Finance,Cash Management Specialist,,Cash Management  Team Member,Organizational Behavior: How to Manage People,2022-03-23T11:56:10.000Z,
Enterprise Business,Key Account's Senior Team Member,Enterprise Business,Key Account's Manager TM,Business English for Cross-cultural Communication,2021-11-21T10:18:34.000Z,
Engineering,RAN Optimization Engineer Specialist,Engineering,RAN Optimization Engineer,Teamwork Skills: Communicating Effectively in Groups,2023-05-27T14:11:14.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Professional,Commercial Support Department,Help Desk GSM Professional,Business Writing,2022-04-21T14:21:50.000Z,
Legal & Regulatory Affairs,Regulatory Affairs Senior Division Leader,Legal & Regulatory Affairs,Regulatory Affairs Team Leader,What is Corruption: Anti-Corruption and Compliance,2023-11-01T17:53:10.000Z,
Human Resources and Administration,"Diversity, Equity, and inclusion Team Member",,Organizational Development Team Member AT,Write Professional Emails in English,2022-08-17T14:55:23.000Z,
Enterprise Business,Sales Back Office Senior Professional,,Sales Back Office  PR,Introduction to Business Analytics: Communicating with Data ,2023-10-17T19:53:51.000Z,
Engineering,IP & Transport NOC Engineer Senior Team Member,,NOC Engineer,Negotiation  Fundamentals,2021-11-07T07:34:26.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Team Member,Commercial Support Department,Help Desk GSM Team Member,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2022-05-19T08:41:38.000Z,
Technology and Digital Innovation,Front End Developer Team Member,,Service Delivery Intern,Building Your Leadership Skills,2022-11-09T17:39:23.000Z,
,,Enterprise Business,Enterprise Presales Team Member,Digital Transformation,2022-01-30T16:19:18.000Z,
Engineering,Radio NOC Engineer Team Member,Engineering,NOC Network Intern,Negotiation  Fundamentals,2021-11-01T15:49:20.000Z,
Commercial Support Department,Collection Account's Senior Team Member,Commercial Support Department,Collection Account's Manager,"Speak English Professionally: In Person, Online & On the Phone",2023-08-23T14:14:57.000Z,
Engineering,Radio NOC Engineer Team Member,,NOC Engineer,Introduction to Data Analytics,2021-10-26T13:43:15.000Z,
Technology and Digital Innovation,DevOps & Billing Systems Engineer Specialist,Technology and Digital Innovation,DevOps & Billing Systems Engineer PR,Excel Basics for Data Analysis,2022-03-16T08:42:55.000Z,
Engineering,Backbone & Optical Network Team Member,Engineering,Backbone & Optical Network Team Member,Programming for Everybody (Getting Started with Python),2022-11-29T13:26:11.000Z,
"Governance, Risk, and Compliance",Threat Management Division Leader,,Information Security Analyst and Administrator,"Penetration Testing, Incident Response and Forensics",2021-10-21T13:47:58.000Z,
,,,,Corporate Strategy ,2023-06-05T04:05:37.000Z,
Commercial Support Department,Business Services Internal Collection Senior Professional,Commercial Support Department,Business Services Collection Team Member,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2021-12-22T09:52:42.000Z,
Technology and Digital Innovation,DevOps & Charging System Engineer Team Member,Commercial Support Department,Telesales Team Member PT,Introduction to Cloud Computing,2024-02-18T06:45:31.000Z,
Human Resources and Administration,Organizational Development - Division Leader,Human Resources and Administration,Organization Development Team Leader-,Inspiring and Motivating Individuals,2023-11-20T07:31:16.000Z,
Enterprise Business,Key Account's Specialist,Enterprise Business,Key Account's Manager TM,Corporate Strategy ,2022-05-16T16:39:51.000Z,
Engineering,RAN Optimization Engineer PT,,RAN Optimization Intern,"Capstone: Retrieving, Processing, and Visualizing Data with Python",2023-01-04T08:29:53.000Z,
Consumer Business,Wholesale Roaming & Messaging Senior Team Member,Engineering,RAN Optimization Engineer,Introduction to Data Analytics,2021-09-26T12:31:06.000Z,
Engineering,RAN Optimization Engineer Professional,Engineering,RAN Optimization Engineer,Python Programming Essentials,2021-10-03T19:26:35.000Z,
,,,CER Team Member /Zinc,Foundations of User Experience (UX) Design,2022-07-14T20:10:41.000Z,
Human Resources and Administration,Security and Control Team Member,,Security and Control Team Member AT,General Academic English,2022-09-27T06:02:46.000Z,
Commercial Support Department,Consumer Services Collection Senior Team Member,Commercial Support Department,Consumer Services Collection Team Member,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2022-03-02T11:55:19.000Z,
,Business Systems Development Division Leader,,Transmission Associate ,Scrum Master Certification: Scrum Methodologies,2023-11-13T15:14:09.000Z,
Commercial Support Department,Customer Service Mobile Solution Team Head Professional,Commercial Support Department,Customer Service Center Inbound Team Head ,"Speak English Professionally: In Person, Online & On the Phone",2023-07-08T16:56:04.000Z,
Commercial Support Department,Customer Service Solutions Development Division Leader,Commercial Support Department,Operation Planning and Development Team Member,Data Visualization in Excel,2022-03-13T10:11:14.000Z,
Enterprise Business,Handling & Distribution Analyst Senior Professional,Enterprise Business,Handling & Distribution Analyst Professional PR,Build Your Professional ePortfolio in English,2022-08-20T05:38:35.000Z,
Finance,Commercial Procurement Professional,Finance,Procurement Team Member,Personality Types at Work,2022-06-01T01:53:35.000Z,
Human Resources and Administration,"Occupational health, Safety & Environment Professional",,"Occupational Health, Safety & Environment Team Member","Speak English Professionally: In Person, Online & On the Phone",2021-10-23T21:08:21.000Z,
Human Resources and Administration,Day Care Center Teacher Senior Team Member,Human Resources and Administration,Day Care Center Teacher,Data-Driven Decisions with Power BI,2023-10-02T22:50:10.000Z,
,,,,"Capstone: Retrieving, Processing, and Visualizing Data with Python",2023-01-13T19:49:38.000Z,
Data Analytics & AI,,Data Analytics & AI,Data Acquisition Team Member,Essentials of Management and Strategic Planning,2021-11-10T10:56:21.000Z,
Commercial Support Department,Customer Service Mobile Solutions Senior Division Leader,Commercial Support Department,Customer Service Center People Management Team Leader TL,Business Writing,2022-07-28T17:35:17.000Z,
Corporate Communications and Sustainability,CER Team Member,Corporate Communications and Sustainability,CER Team Member AT,Introduction to Data Science in Python,2023-09-28T13:05:40.000Z,
Engineering,Engineering Operations Executive Manager,,Engineering Operations Manager,Excel Basics for Data Analysis,2021-09-14T15:11:54.000Z,
Enterprise Business,SMEs/SOHOs Account's Professional,,SMEs/SOHOs  Account's Manager,Build Your Professional ePortfolio in English,2021-11-09T12:34:33.000Z,
"Governance, Risk, and Compliance",Business Excellence Specialist,"Governance, Risk, and Compliance",Business Excellence Team Member TM,Introduction to Data Analytics,2022-08-16T06:11:18.000Z,
Enterprise Business,SMEs/SOHOs Account's Senior Team Member,,SMEs/SOHOs  Account's Manager TM,ظ…ظ‡ط§ط±ط© ظ…ط®ط§ط·ط¨ط© ط§ظ„ط¬ظ…ظ‡ظˆط± | Public Speaking Skills,2023-10-15T12:23:40.000Z,
Enterprise Business,Network Administrator Senior Team Member,Enterprise Business,Network Administrator TM,Foundations of Project Management,2023-12-14T17:13:11.000Z,
Human Resources and Administration,"Diversity, Equity, and inclusion Team Member",,Organizational Development Team Member AT,Fundamentals of Graphic Design,2023-05-26T22:32:45.000Z,
"Governance, Risk, and Compliance",,,Enterprise Risk Management Intern,Introduction to Cybersecurity Tools & Cyber Attacks,2021-10-01T10:44:03.000Z,
