,CANDIDATE_REF_NUM,UNIVERSITY,EDUCATION,LANGUAGES,SKILLS
10,434829,Princess Sumaya University of technology,Telecommunication engineering,"ARABIC,ENGLISH","Troubleshooting ETTH and FTTH problems.,interfacing with some apps like Hawaii Software-U2000.,Provide feedback to the management concerning possible problems or area of improvement.,Working on Analog and IP cameras system.,Testing and Troubleshooting CCTV system.,Installation, configuration and Running the voice system.,Work with team member and the managers to complete the duties as needed,Installation and configuration VoIP System,maximize network performance by monitoring performance, troubleshooting network problems and outages, scheduling upgrades and collaborating with network architects on network optimization.,undertake data network fault investigations in local and wide area environments using information from multiple sources.,provide remote support to on-site engineers and end users/customers during installation."
11,543960,University of Jordan,electrical engineering,"Arabic Mother Tongue,English fluent listening, writing and speaking","Install, configure and support LAN/WAN projects for organizations. Configuring and supporting firewalls, Deploying firewall policies and security profiles, monitoring network applications and blocking events, and configuring VPNs. Install, configure organizations on-premises wireless LAN infrastructure including Access Points and Wireless Controllers. Provide support and troubleshooting to customers different network and endpoint security technologies (Switches, Routers, Wireless Controllers, Firewalls). Perform health check and periodic preventive maintenance (CPU, memory, RAM and hardware) for different network and security infrastructure. Prepare technical documentations and reports for projects.,MS office Linux MATLAB AutoCAD SQL C Programming Language Python Programming Language Basic working knowledge of virtualization environments including: VMware and Hyper-V (Windows and Linux). Basic working knowledge of writing Linux Scripts.,Verbal and written communication skills. Troubleshooting. Problem Solving. Team worker. Adaptability. Creativity."
12,820171,"Jordan University of Science, and Technology",Computer & Information Technology,"Arabic,English","understanding of OOP, Data Structures, Algorithms, Design Principles.,Exposure to ITIL Foundation.,CCNA equivalent experience,Active Directory GO,OU,Pfsense firewall rules.,troubleshooting hardware peripherals.,configuring and troubleshooting Vmware technologies,Fingerprint and access card technologies (Virdi, Kantech),Collaboration technologies Mailbox, IVR, SIP, SCCP, AXL integration,Positive attitude, hardworking and teamwork,Strong analysing skills,Good understanding and communication skills,Excellent judgment and creative problem-solving skills.,Work under pressure hardly"
13,746696,جامعة الطفيلة التقنية,"تكنولوجيا التصنيع المحوسب Diploma,تكنولوجيا التصنيع المحوسب","English,Arabic","العصف الذهني,Dedication,Business Organization,العمل بروح الفريق"
14,817790,"Tafila Technical University, Tafila, Jordan",Communications and electronics Engineering,"Arabic [mother language],English [ speaking, writing, reading]","Highly developed communication and reporting skills. Strong communication skills: (Interpersonal skills, administrative reporting presentations). Computer proficiency (word processing, presentations & e-mail correspondence). Hardworking & team player. Accountability and commitment. Programming electronic devices; Such as Raspberry Pi ( at Jordan engineers association) (certificated) CCNA (at cisco - Tafila) ( Certificated).,Assist the lab supervisor in different labs.,Control students during the examination period.,Carry out some tasks at the admission and registration department."
15,758870,The University of Jordan,Electrical Engineering,"Arabic,English","MATLAB, Python, C++,ANSYS HFSS, Atoll, ETAP, Multisim, Wireshark,Proficient in Microsoft Office Suite"
16,816794,Private University,"Computer Science,Energy Engineering","Arabic - Mother language,English - B2,Deutsch-Good (B1 level)","Microsoft Office package, Java, C Language, HTML, CSS, Java Script, Python, Flutter, Database, PVsys, PVsol, Revit."
17,632650,Government College University,Electrical (Telecom) Engineering,Unknown,"VOIP: Understanding of all major formation techniques (Routing, Troubleshooting etc.) By using different Software`s Switches e.g. SONUS, GENBAND, DIGITalk, Itel, Voss, SIPPY, NEON. Technical Skill : Understanding of PCAP traces, creation accounts, define rating plans, Balance addition detection, Creation technical reports,,Relevant Course Studies: Digital Signal Processing(DSP), Satellite Engineering, Optical Fiber Communication, Wave Propagation and Antennas, RF & Microwave Engineering, Wireless & Mobile Communication, Digital Communications, CCN (Computer Communication Network."
18,661549,De Montfort University,Electrical and Electronics,Unknown,Unknown
19,817457,"Arab Academy for Science, Technology & Maritime Transport",Communication,"Arabic Fluent,English Very good","Ability to work under pressure.,Self and fast Learner.,Good Communication Skills.,Hard worker."
20,755133,University of Science and Technology,"Communication Systems,Communication Systems Engineering","Arabic: Native,English: Good","Analytical and troubleshooting abilities.,Operating system (Windows, Windows server, Linux & MacOS).,Ability to follow-through and react quickly to situations.,Excellent telephone skills and good ability to use Remote Access.,Server management.,Systems administration.,Microsoft Office 365.,Adobe photoshop.,Outlook and emails configuration & troubleshooting.,Ability to diagnose networks, computers, copiers, CCTV, and phone systems (VoIP)in an efficient and professional manner.,Ability to create and supervise computer applications and system upgrades (viruses, application glitches, and hardware issues).,Detail orientation, technical details, following established processes and assisting with the development of new or changes to support processes.,Comfortable working by my own or part of a team,Ability to disconnect all network devices and phone system, transport them and reinstall them at new locations during office relocations,Ability to install PBX phone systems,Ability to troubleshoot network, CCTV and voice cabling (Digital or Analog),Experience in Structured Cables installation,Ability to develop myself and gain new skills,Ability to climb ladders and maneuver in attics and/or crawl spaces when necessary,Provided support to customers via email or phone and resolved any IT related issues,Design, implement, install, configure and troubleshooting Microsoft windows server,Administering Windows Server networks, domains, roles and services,Troubleshooting and maintenance Active directory, DNS and DHCP,maintained physical server hardware and performed repairs when needed,Implementing, Managing and Monitoring Network Devices"
21,693923,Al-Balqa` Applied University,Telecommunication and Software Engineering,"Arabic Mother tongue,English Professional","Expert in MATLAB,Expert in C++,Expert in Multisim,Expert in CST suit,Good written and verbal communication skills.,Excellent team leading and coordination skills."
22,432923,Princess Sumaya University for Technology,Electronics Engineering,"English,Arabic","Good Communication Skills,Teamwork,Troubleshooting,Flexibility,Customer service,Critical thinking,Work under pressure,Time management,Quick leaner,Design Techniques,Software Installation,Testing Cables,Site Surveys,Integration,Programming,AutoCAD,Cables & switches,Routers,LAN,IPv4 & IPv6 routing,Infrastructure technology,TCP/IP"
23,512689,Al-Zaytoonah University of Jordan.,Communication and network engineering,"Arabic (Mother Language),English (Write and Read ) very good.","Design and implement functional networks.,Configure manage and maintain essential networks devices.,Use devices such as switches and routers to segment networks traffic and creat resilient networks.,Identify benefits and drawbacks of existing network configurations,Implement network security standards and protocols.,Troubleshoot network problems.,Support the creation of virtualized networks.,Implementing Cisco IP Swiches Networks.,Plan and perform regular maintenance on complex enterprise routed and swiche networks.,Good interaction with team.,Work under pressure.,Have a good personality.,Experience with AutoCAD.,Good use internet and Microsoft Office.,MATLAB & JAVA & C++,Kotlin language"
24,756770,Zarqa Privet Universitty,computer information systems,Unknown,"Exceptional communication and networking skills,SQL Database,The ability to follow instructions and deliver quality results,The ability to work under pressure and multi-task,Successful working in a team environment, as well as independently"
25,817447,"Modern Academy (For Engineering and Technology),",Communication and electronics engineering,Unknown,Unknown
26,755678,"Isra Private University,Balqa Applied University","Electronics and Communications,Electrical Power Systems","Arabic: mother tongue,English: very good (reading, writing and conversation).","Social Skills and Competences General soft skills (presentation skills, planning, team work skills).,Technical Skills and Competences The passion to read tutorials, document, manuals and scientific papers. Analytical thinking skills."
27,754848,The Hashemite University,Electrical Engineering,"Arabic- Native,English- Bilingual,Arabic,English","Good Listening Skills,. Excellent Work Ethic,Capability to Analyze Data,Flexibility,Solving Complex Problems,Communication Skills,Creativity,Teamwork,Organization Skills,Python PvSyst Matlab Microsoft Excel AutoCad"
28,819140,Institute of Aviation Engineering and Technology (IAET),Electronics and Communication Engineering,"Arabic,English","Good Communication Skills,Motivated and Organized,Problem solving,Research and Development,Work under Pressure,Access & configuring all network devices (Routers, switches) with Full privilege for troubleshooting,Troubleshooting and investigating core routing protocols problems (OSPF -BGP - MPBGP L2/L3 VPN - LDP) services on routers,VMware Workstation,Office Skills (Word, Excel and Power Point),Operating System (Windows, Linux(CentOS)),Establish the networking environment by designing system configuration and directing system,Configure routing and switching equipment"
29,825690,Jordan University of Science And Technology,Electrical Engineering (Power and Control),"Arabic Mother language,English Writing and Reading is excellent with good speaking","Fast learner, able to learn new systems,Active team member,Manage time,Good Communication Skills,Strong Work Ethics"
30,744535,World Islamic Sciences and Education,Software Engineering,Unknown,"C#,ASP.Net,MVC,HTML,CSS 3,Bootstrap,SQL Server,Java,Microsoft Office,X++,SQL"
31,406990,Al-Balqa Applied University.,Communications Engineering,"Arabic,English","Research skills,Analytical skills,Teaching Skills,Communication skills,Microsoft Office,MATLAB,NI Multisim and LabVIEW,Cisco Packet tracer,Information Technology,Communications Technology"
32,755308,Al-Balqaa Applieduniversity,communication engineering,"Arabic,English","MATLAB advance training andSimulink.,Google sketch up and PVSYSTexperience.,Adobe photoshop andillustrator.,Microsoft office andExcel.,VBAprogramming.,Fixing any issue onnetworks."
33,816846,Yarmouk University,Unknown,"Arabic language (Mother tongue),English language (Excellent user and speaker)","Very Good communication skills,Excellent at using the Cisco Packet Tracer program,Excellent command in dealing with all the computing programs,Very good in using the social media applications,Excellent in dealing with network and network security,Ability to deal with using good soft skills"
34,818115,"Al-Balqaa Applied University,",Communication Engineering,"Arabic,English","Time Management & Productivity.,Communication Skills.,Problem Solving.,Good Negotiation Skills."
35,404098,Palestine Polytechnic University,Computer Engineering,Unknown,"Over 16 years of experience in System Administration.,Over 16 years of experience in Network Administration.,Over 16 years of experience in Technical Support.,Over 16 years of experience in PC & Laptops Hardware Maintenance and Software Solutions.,Over 10 years of experience in Public Relations.,Over 10 years of experience in Information Management & Data Processing.,Over 10 years of experience in Strategic Planning, Capacity building & Institutional Development.,Over 10 years of experience in Proposals & Reports writing.,Excellent Communication skills.,Excellent Presentation Skills.,Enthusiastic & team player.,Strong analytic, numeric and forecasting skills.,Good ability to work under pressure, within teams and to deadlines.,Expert: System Administration, Network Administration, Technical Support, Windows (10, 8.1, 8, 7, Vista, XP, 20016, 2012, 2008, 2003 Server), MS Office 2019, SPSS.,Intermediate: DB Administration (SQL Server). Programming (C++, VB.Net), Video Editing, Adobe Photoshop. Articulate Storyine 360, iSpring.,Basic: Java, Assembly."
36,690923,Philadelphia University,Communication Engineering,Unknown,".Computer literacy (MS office, internet),,Office management,Interpersonal skills,Organizational ability,Computer skills (Typing: English-Arabic),Leadership skills,Office management,Networking,Cooperation,Creativity,Cultural awareness,Flexibility,Working under pressure,Initiative,Motivation,The ability to work as part of a team"
37,406904,Al-Balqaa Applied University,Telecom Engineering,"ARABIC,ENGLISH","POWER BI,MS PROJECT,MS OFFICE,VISIO,AUTOCAD,FIBERHOME UNM200,NOKIA AMS,NOKIA BTS MANAGER,HUAWEI U2000,ZTE SDR TOOL,SECURE CRT,INSSIDER TOOL,THERMO GRAPH,OTDR,SITE MASTER"
38,823486,"JNTUK,State Board of Technical,Board of Secondary",B.Tech (MECHANICAL),"English,Telugu,Hindi,English, Telugu","Knowledge of managing productively, Individual targets, and employee relation.,Regularity in working with in specific time and ability to seek advice.,Expert in managing people in different situation.,Having self-confidence & enthusiasm.,Interpersonal skills,AutoCAD,MS office.,Basic knowledge of computer operation, [DCA],Adaptability Attention to detail Curiosity Open mindedness Self Motivation"
39,755819,"Yarmouk University,",Telecommunications Engineer,"Arabic: Native tongue,English: Fluency in speaking, writing, and reading","Troubleshooting issues for different customer needs and requirements,Working in a timely manner,Handling high workload,Customer management,Technical knowledge with different platforms and technologies and protocols"
40,413972,Philadelphia University,Software Engineering,"Arabic: Native,English: Good","Practiced troubleshooter with excellent diagnostics and repair abilities, strong attention to detail and methodical approach.,Printers and PC expert Boost performance by thoroughly evaluat- ing and correcting different hardware and software Issues.,Ability to learn new concepts quickly and efficiently.,Hard and smart worker.,Time management.,Application support,Desktop support,Technical issues analysis,Customer service expert,Component installation,Network support,Team collaboration"
41,758201,Princess Sumayya University for Technology,Telecommunication Engineering,"Arabic Mother Tongue Language,English Excellent","Teamwork.,Creativity.,Self-learning.,Problem solving."
42,404810,"Yarmouk University,Al Hussein Secondary School",Telecommunication Engineering,Arabic and English,"Programming in C++,CCNP certified"
43,639291,O Al-Balqaa Applied University,Computers systems & Network Engineering.,"Arabic,English","Building and management network, AutoCAD, Multisim. packet tracer, Opnet, PRTG, Matlab, Altera and Intel Microprocessor. Microsoft office, Visual Basic, c++ and Python programming languages, Familiar with Windows, Linux,windows server."
44,755583,Unknown,SCIENCE IN TELECOMMUNICATION ENGINEERING,Unknown,"Linux Administration. User Management, Groups Management, Permissions Management, Ownership Management in Linux. Packet Capturing and Analysis(Wireshark, TCPDUMP) Routing Switching OSPF, BGP, MPLS, MPLS-TP Protocols Firewalls Load Balancing L2 Switches, L3 switches TCP/UDP IP Networking Ports, Protocols (http, https, Network Status Codes) MYSQL Databases OSI Model and Devices used on the layers (Physical, Network, Application layer etc.),Transmission Equipment Work Experience SDH Systems, ISM, ADM16, SLM2000 ADM Universal Huawei SDH/DWDM Systems ? BWS1600G (DWDM), Optix2500, Optix Metro1050, Optix155/622(Metro1050) Optix155/622(Metro2050) OSN1500, OSN2500, OSN3500 Siemens SDH SMA1K, SMA1/4, SMA1/4C, SMA16, hIT7030, hit7060, hiT7070 TV Decoder ? Barco Video Decoder RE 3400 (34MBits) Codes (TV) ? Barco Encoder Codes TV RE3400 (34MBits) ? Audio Codes RE 8930 Synchronization System ? SDU OSA 5533c (Oscilloquartz),Troubleshooting and link up of optical interfaces (E1, STM-1E, STM10, STM-4, STM-16 & STM-64 with customer DDF and ODFs.,Best commands of measuring equipments Optical Power Meter, OTDR, Laser Source and Ohm Meter for power connections.,Preparation of the weekly/monthly Report for the quality of Service. In addition, consolidating a performance report keeping in view an individual basis and Group wise.,Basic knowledge of the power plants employed in the telecommunications networks (Generators, Rectifier & Battery).,Attending PAT (Preliminary acceptance tests) Activity with vendors.,Preparation of detailed technical report during any outage of failure.,Provide technical support in line with 24x7 call-out routine and SLA commitments Including attendance at site in planned, unplanned & emergency situations.,Following up and tracking projects tasks during the execution stages in coordination with managers.,Dealing with the client to resolve their issue on priority basis.,Export the closing the open Rings STM16, STM64.,Performed the Joint activity (JV) with customers"
45,551887,AL MANHAL INTERNATIONAL SCHOOL,Unknown,"ENGLISH,ARABIC","Network repairs and maintenance,Switches and routers,Server maintenance,Hardware and software Support,FortiGate and Sophos, experience in network security (Firewall, VPN, Anti-Virus, Anti-Spam, Intrusion Prevention, Content Filtering, End Point Security, Web Application Firewalls, or Email security),Extensive knowledge of Microsoft based operating systems, including Windows Server 2008,2012, 2016, 2019 and Windows 7,8.1, 10,. Aruba Access point Wireless Network,Performed help-desk support for users,Installed computer lab network from scratch.,Connected computers as workgroup.,Performed computers maintenance,Install VMware Hyper visor on Server,Configure and troubleshoot DNS, DHCP, File and Print Servers.,Scanners, Printers, Network Printers.,Support onsite technical support services like hardware repair & upgrades, new computer setup,Wireless/Wired network setup and Recovery of deleted data.,Email setup and configuration using Outlook, fix mail Problems of Sending/Receiving.,Archived photographs on computers and servers.,Photographed high-quality images for both print and internet distribution.,Planned and prepared for all on-location and studio shoots.,Fabricated camera mounts and cases to capture images and protect equipment.,Installed, configured, and supported local area network (LAN), wide area network (WAN) and Internet system.,Diagnosed and resolved hardware, software and network problems and replaced defective components.,Graphic Design Consultant"
46,479516,"Princess Sumaya University for Technology,Princess Sumaya University for Technology","Information Systems Security & Digital Criminology,Management Information Systems",Unknown,Unknown
47,405793,AlZaytoonah University of Jordan,Electrical Engineering,"ARABIC (MOTHER TONGUE).,ENGLISH: VERY GOOD (READING, WRITING AND Speaking).","Arduino,AutoCAD,MATLAB,JAVA,C++,CST Studio,network design and configuration (cisco packet tracer),html,CSS,JavaScript,. python,Computer Skills: MS Windows Operating System.,Proficient human relation skills.,Able to achieve the required goals.,ability to work well under pressure.,Good verbal and written communication skills.,Relevant technical knowledge.,Problem-solving skills.,Efficiency and organized.,Team working skills.,High follow up skills."
48,417834,Unknown,Information Technology,"English,Arabic","Configuration of cisco routers, Summarization, Router ID, DR, BDR, etc. IR, BIR, ABR, ASBR, LSA, Redistribution, Route-map, LSAs, Stub area etc. using RIP, OSPF, BGP, EIGRP. Experience with Cisco and Huawei Switching technologies, like, STP, RSTP, MSTP, VLANS, MLS etc. Port Aggregation/Ether Channel (Layer 2 and 3) etc.,Supporting in Presales by Delivering presentations to prospective and current clients. Managing the sales bid process by responding to RFIs & RFPs. Assist Sales Team in Qualifying Prospects by helping in the Tenders management especially to US Federal Government as well as Commercial Customers. Also handling Post-sales services like RMAs, Licensing and other related issues.,Hands on Experience on Microsoft Windows Server 2012 and 2016 Active Directory Domain Services, AD Group policies, Security Policies and Access control etc.,Installation and maintenance of Voice over IP system Desk phones, Wireless phones in Cisco, GigaSet, Mitel Telephony, Yealink and Unified Communication system.,Support of Office 365 with a focus on Exchange, Skype for Business and license management.,IT Services management and Service Desk Manager (CASDM) and POS Ticketing system.,Procedures laid down to ensure quick resolution for IT faults or incidents reported.,IT Networks and Desktop Support including 0365, VOIP Support and Ticketing Systems.,Ability to troubleshoot and resolve complex problems.,Client Server Architecture Support including Remote Access troubleshooting and resolution.,Acquired and utilized acute knowledge and troubleshooting experience with telephone equipment; and produced ad hoc reports and documents for senior team members.,Excellent Written and verbal communications skills in English. Also, fluent in Arabic language.,Responsible for LAN and WAN networks support along with other technical support.,Resolve 1st and 2nd line support incidents on the network, VOIP phones, workstations, printers & mobile devices.,VoIP Infrastructure Administration like Insta"
49,757275,Al-Balqa Applied University,Mechatronics Engineering,"Arabic,English","Self-motivated and ability to take the initiative.,Work under pressure.,Good administrative and organizational skills.,Work effectively as team member.,Good communication skills both in oral and written.,Complex problem solver.,Python,C++,PLC,MS Office,Project management"
50,623308,Philadelphia university.,communication and electronic engineering,"Arabic (Native language).,English (Very good).","Creative.,Team work play.,Time management.,Computer skills."
51,809695,AL AL-Bayt University,Geographic Information System and Remote Sensing),"Arabic,English","Design and production of maps,Geographic database management,spatial data analysis,Making apps in gis,sense of responsibility,Strong communication skills,Work under pressure,Time management,Team work,Strong presentation and negotiation skills,Strong communicating and client interaction skills,Contacting and communicating with high end decision makers,Able to quickly understand customer needs and to deliver timely and cost-effective solutions,Html,Python,Microsoft Office (Word, PowerPoint, Excel-Access),Google maps"
52,419469,AL-BALQAA APPLIED UNIVERSITY,communication and software,Good English performance,Computer (Microsoft office) & Internet Typing
53,808772,University of Jordan,Electrical Engineering,"English,Arabic","Team Leader,Flexible and innovative,Patience, Great ambition,Quick learner,MS Office 365,Basic computer architecture,Troubleshooting,Customer service,Routing concepts,Permissioning,Package and software management,Process management,Resource monitoring,Systems administration,Configuration,Centralized management,Implementing/managing directory services,Data management and recovery"
54,760457,Hashemite University,Computer Engineering,"English - Very good,Arabic - Native Language","Troubleshooting Cisco networks and isolating problems from switching side. Troubleshooting and knowledge in all kinds of Cisco catalyst switches for connectivity, CPU, hardware, and other software issues like system upgrades. Troubleshooting and understanding different protocols like DHCP / ICMP/HSRP/ARP/STP/VTP/ ( PAgP and LACP) CDP/NAT and ability to understand new protocols or technologies. Troubleshooting and knowledge virtual systems (VSS, stack wise virtual) and stacking systems. Collaboration with different technical teams in order to resolve issues. The ability to deal with all kinds of networks from the most complex to the most simple ones. Keep up to date with new technology products ion order to provide support as soon as they are lunched in market. Cooperate with the development team and business units to document and solve software defect through lab simulations and testing.,Worked on solarwinds solution As Network Operation Center for All Dar Offices. Worked on LogRhythm solution As Security Operation Center for All Dar Offices. Cisco Routing and Switching. Cisco Unified Communication Manager. Cisco Wireless Controller. Fortigate Firewall. CCTV Cameras system.,CCNA Routing and switching certificate. HCIA routing and switching certificate. CSFPC certificate. NSE1,NSE2 Certificate. Have a good knowledge about 5G technology. Linux online course. A+ course & maintenance skills. C++, SQL, verliog &assembly. Ability to learn new programming skills and technologies in a short time. Excellent team working skills. Creativity & problem solving skills."
55,555627,Al-Balqa Applied University,Communications and computer networks,Unknown,"Project Management,Leadership,Self-motivation,learn fast and work under pressure"
56,760359,University of Jordan,Business Information Technology,"Arabic,English,Spanish","Communication Skills,Work under pressure,Problem Solving,Networking design"
57,805133,Philadelphia University - Amman - Jordan,Computer Science & Computer Information Systems,Unknown,"Technically minded,Analytical,Pro-active,Problem solving oriented,Team player,Results oriented,Maintaining maximum availability of supported services for users.,Identify and recommending improvements for applications, Microsoft windows systems.,Research and recommend web-based solutions, to aid the business advancement transformation to web-based business model insuring flexibility and dynamicity.,Contacting IT software/hardware/Services suppliers and obtaining quotes to insure uninterrupted IT service.,Use cloud-based solution (executestrategy.net - CASCADE) to create & manage a dynamic digital form of companys strategic plans (short & long term), which includes:,1) creating a digital representation of all employees structure based on actual hierarchy.,2) adding all employees goals for a specified period(s).,3) aligning the company strategic goals (short & long terms) to each employee from top-to-bottom: General Management, Department Heads, Line Managers, Employees.,Problem-Solving and Administration.,Networking, VLANs, and network infrastructure.,Cloud services management.,Business workflow automation.,Security and Monitoring.,Account access management.,Hardware management.,Backup & Disaster Recovery."
58,755772,Al-Balqa Applied University (BAU),Computer Science,"English,Arabic","Switching & Routing,Network Access,Android,Java,Public Speaking,Negotiation"
59,825699,Hashemite University,electrical engineering,"Arabic: Native Language,English: Speaking, reading and writing","Teamwork,Problem Solving,Good communication skill,Excellent use of computer,AutoCAD Program,Assembly Program,Bluesol Program,Matlab Program"
60,820561,Jordan University of Science and Technology,Network Engineering and Security,"Arabic,English","Advance Knowledge of routers, routing protocols Programing Languages :(c/c++, python) Hands on experience on Linux operating system,Strong communication and organizational skills Problem Solving Flexibility Strategic planning Demonstrated interpersonal skills commitment"
61,463103,Applied Science University,Computer Science,"Arabic,English","Team work, Individual work, Work under pressure, Office work, Hardworking, Self-Motivated. Time management, Fast work, Productivity, Communication Skills, Creativity, Leadership, Flexibility, Responsibility."
62,721445,Al-Balqa Applied University / FET,Telecom Engineer,English - Very Good,"Microsoft office, AutoCad, Python, C++, blynk, fritzing."
63,675787,"Philadelphia University,",Business Networking & System Management,"Arabic,,English","EXCELLENT PRESENTATION SKILLS,EXCELLENT INTERPERSONAL SKILLS,A TEAM PLAYER WITH ABILITY TO WORK INDIVIDUALLY,STRONG EYE FOR DETAIL,ABILITY TO MEET DEADLINES,TIME MANAGEMENT,ABILITY TO DISTRESS WHEN WORKING UNDER PRESSURE,DRIVING LICENCE"
64,734685,Jordan University of Science And Technology,Computer science,Unknown,"HTML CSS java Script,Python Networks MS Office"
65,481498,Al-Balqa Applied University / Faculty of Engineering Technology/ 2015-2020 / Rate is Very Good [ 3.04 ].,Telecommunication Engineering,"Arabic - Native Language,English - Good (writting, reading and speaking).","High Ability To Work Under Pressure.,High Ability To Work With Team-Leader.,Very Good Time Management.,Good Communication Skills and Interpersonal Skills.,Fast To Learn.,Problem Solving."
66,807675,The Hashemite University,ELECTRICAL ENGINEERING,"Arabic: Native language.,English: Very good (TOEFL iBT =90 (out of 120)).","PV systems,Lighting and power systems,Program and operate a VFD,AutoCAD,PVsyst,DIALux evo,Packet Tracer,CODESYS,MS Office,Multisim,MATLAB"
67,753178,Faculty of Engineering Technology FET - Hashemite University,Electrical Engineering,Very Good Arabic and English,"Advanced Skills and knowledge in Excel, Power Point,Very Good in PV Syst, AutoCAD, STK and MATLAB"
68,825686,"Tafila Technical University,AL Balqa Applied University/Faculty of Engineering Technology",Electrical Power Engineer,"Arabic - Native,English - Very good","Energy Audit,Hard worker and fast learner.,MATLAB,Oral and written communication skills.,Arduino,Customer service skills.,Proteus,Critical Thinking.,C++,AutoCAD,MS Office.,IOT,KNX Protocol"
69,805888,"Al-balqaa applied university / Al-huson University Collage (2017 - 2021),",computer science,"Arabic: native,English: very good at writing, speaking, reading and listening","Excellent skills in C++.,HTML5 Programming.,CCNA. Router and Switch knowledge.,Knowledge in SQL.,Operating System: Windows.,Computer software and hardware installation and maintenance.,Excellent skills of using Internet and Microsoft Office Applications,Professional in Access, Word, Excel, PowerPoint.,Excellent analytical and Organizational skills.,Good Communication skills, good presentation skills.,Ability to work in a group or individually according to the job requirements.,Good Project Management, Problem Solving ability, and decision making ability.,Commitment and ability to work under pressure.,Quick learner and able to concentrate and pay attention to details."
