,CANDIDATE_REF_NUM,UNIVERSITY,EDUCATION,LANGUAGES,SKILLS
10,828095,Al-Balqa Applied University,Electrical Power Engineering,Unknown,"Beginner in MATLAB,C++ Programming language,Good knowledge in MS office,Good knowledge in AutoCAD,Good knowledge in Revit,Communication skills.,Team work.,Adaptability.,Planning and motivating others.,Culture awareness."
11,824428,Hijjawi Faculty For Engineering Technology - Yarmouk University,Telecommunications Engi- neering,"Arabic,English","Latex Research,Microsoft office,Project management,C++,Python,Machine learning,Data science,Machine learning with Scikit-Learn, Keras, TensorFlo,Azure Machine Learning,Matlab,Networks CCNA,Power BI,Wireless communications Systems,Signal processing"
12,559596,UNIVERSITY OF SCIENCE AND TECHNOLOGY-YEMEN,B.SC. IN ELECTRONICS AND COMMUNICATIONS ENGINEERING,"ENGLISH,ARABIC","ArcGIS Softwares,QGIS & QField,3-GIS Softwares,Comsof Fiber Designer,SOLIDWORKS,AutoCAD,InDesign & Photoshop,M.S-Office & MS-Project,WORK UNDER STRESS,LEADING PERSONALITY,ABILITY TO LEARNING,WORKING WITHIN GROUPS"
13,820575,"Antonin University,Lebanese University,Antonines Sisters School","Electronics,telecommunication engineering","French,English","Characterizing and analyzing full radio performance,Monitoring, installation & Configuration of the microwave PDH/SDH equipment (protected & unprotected of MW Hops),Demonstrated proficiency with latest version of Pathloss design tool.,Path designs for licensed (AVIAT, AL SIAE) and unlicensed links (Cambium 450i & 650, ubiquiti ).,Design of microwave radio paths in terms of antenna selection, recommendation of space diversity, site selection and recommendation of specific radio modulation types (fixed or ACM) and capacities.,Microwave radio frequency planning and interference analysis to assure interference free network.,Knowledge of microwave radio configuration, i.e. frequency, and non-protected (1+0, 2+0... links) and protected links (1+1 HSB, 1+1 SD & 2+2 HSB,SD links) unsing the l1la (Layer 1 Link Aggregation) .,Programmable switching structure: transparent mode, mixed mode, VLAN, DPP VLAN (Data Packet Plane), or link aggregation.,Perform site and path surveys to validate modeled conditions for proposed microwave links by verification of the environmental and terrain parameters (coordinates, site ground elevation, and height of potential obstructions).,Monitored the transmission network, troubleshot and resolved radio faults and alarms, tested for bit errors (Provide Microwave RF engineering support to implementation and maintenance teams to quickly troubleshoot network propagation issues).,Collated the capacity information and configuration parameter of all the links in the networks into a central database.,Manage the different resources and teams on work for the completion of the task within timelines.,Negotiating regarding BOQ and technical specs and preparing for RMAs and follow up with the suppliers.,Advanced routing and MPLS on AVIAT platform,Complete knowledge of arial fiber cables installation (FTTX that offers high bandwidth and future upgrade potential over large distances), fiber patching and migration,Microwave configuration & Commissioning : 1. Drag"
14,825320,ASIA PACIFIC COLLEGE,BACHELOR OF SCIENCE IN ELECTRONICS AND COMMUNICATIONS ENGINEERING,"Filipino,English","Accessing and modifying subscriber information through HLR9820 SMU Client and Putty.,Accessing subscribers accounts, logs, subscription and service order through ICMS and CSP.,Accessing Web-Based CTSS Troubleshooting Tools for complaint handling of both prepaid and postpaid concerns (such as websmap, Acision, Web LMT, MDSP, SMP, Netscout, etc.),Navigation and Site Alarm Monitoring via Huawei M2000.,Performing Location Update to know Serving Site using Huawei and Ericsson Citrix tools.,Viewing of Networks Sites and IBS through MapInfo and Google Earth aided by 2G/3G New Site Update, Domestic Roaming, and Repeaters Excel file Lists and KPI tables as well,Performing remote tracing in different RNC to know 3G sites performance and evaluating important parameters to determine signal level and quality,Good Verbal and written communication skills,Excellent analyzing and problem solving skills,Good in written production reports and other reports,Basic knowledge in operational excellence and control,Team management"
15,411359,Philadelphia University,"Communication,and electronic engineering","Arabic: Mother Language,English: Reading, Writing and Speaking are excellent","Refurbishing and testing Carry out basic warehouse activities - 3 years proven in technical and maintenance Troubleshooting & Quality control Tracking Imported & Exported Shipments Basic Supply Chain Operations Background in electronics part and equipments,Computer and Internet Skills: Software (MS office, Word, Excel, PowerPoint)/Hardware.,Cisco Certified Network Associate (CCNA) - Pioneers Academy.,Training sessions in * Anti-Piracy * Internal Sales - (Certified).,Energetic and ability to work hard under pressure and tight deadlines.,Excellent communication proficiency and coordination skills.,Strong Interpersonal skills. Technically & commercially minded.,Quick learning and information seeker with problem solving skills.,Awareness of managing outsourced operations and developing relationships with ability to manage people."
16,820671,"Al-Balqa Applied University Faculty Engineering,Al-Balqa Applied University Faculty Engineering","Mechanical Engineer,Computer Numerical Control",Unknown,"MS-Office.,AutoCAD.,Team-Worker.,Decision making.,Sales skills.,Design.,Critical thinking."
17,831145,Al-Balqa Applied University,Telecom Engineering,Unknown,"strategic planning and time management Excellent Communication Skills Energetic, Motivated, efficient, and hardworking Accurate, alert, organized and careful Microsoft Office (Word, Excel, Power Point, ...) C++, Matlab, AutoCAD, and Assembly Language. RF, Network architecture. Cybersecurity."
18,822561,Al-Balqaa Applied University -factuly of engineering technology (polytechnic),Telecommunications Engineering,"Arabic excellent,English-good","Computational & Microsoft office skills,Communication skills,Work under pressure.,Team working,Time management,Solving problems,Matlab,Protos,MicroC"
19,414378,"Philadelphia University,Jordan Telecommunication College",Communication and Electronic Engineering,"Arabic,English","Analysts skill,Work coordination,Leadership,Teamwork,Communication,? Applying best solution for general problems on IPTV service like Freezing, Jittering and No IP problems by reconfigure in NMS and contact with other department in NOC.,? Having good command on RTU remote terminal unit that monitors the field digital and analog parameters and transmit data.,? Having very good command on Data Miner & Home Performance Management system which provides the home environment service level and quality for the service.,? Having good knowledge in the installation and commissioning of OCB 283 telephone exchanges.,? Working with First Call Resolution team to analysis and resolve customers faults and problems,? Participation with work team to make WLA Between customer care department and FTTX NOC and business department,? Participation with work team and made A key performance indicator (KPI) for IPTV service"
20,408217,University of Jordan,Electrical Engineering,"Arabic,English",Telecom Planning Project Management Verbal and Written Communication Team Leadership Integration Migration Time Management Transport Network Critical Thinking MAN Infrastructure Rollout Microwave Fiber IIB Huawei NOKIA CISCO NMS NFMP EPNM U2000 Pathloss ROI MS Excel RFP
21,818847,"Yarmouk University,Hashemite University","Wireless Communication Engineering.,Electrical and Computer Engineering.","Arabic | Mother tongue.,English | Very good.","Computer and programming skills Lego EV3 and robotics design MATLB and Python softwares Arduino programming. Familiar with LABVIEW Microsoft Visual Studio, Word, Excel, Visio and Power Point. Good using Cisco Packet Tracer and GNS 3. Very good experience in hardware and maintenance for PCs and printers, (A+ course). Excellent communication skills. Can work under pressure. Strong Management & Planning Skills. Initiative, motivated and target oriented. Ability of quick learning and adapting. Working either individually or in team works."
22,805940,Al-Balqa a Applied University,Civil Engineering,Unknown,"Excellent communication skills.,Decision making.,. Time management.,Good Command of computer softwares and applications (AutoCAD, Civil 3D, Etabs and MS Office).,?? Ability to work as a team member or individually based on job requirements.,Working under pressure.,? Social And easy going."
23,707869,Yarmouk University,Communication Engineering,"Arabic,English","Communication skills,Problem Solver,Time management,Statistical Analysis,C++,Arduino,Matlab,HTML,CSS,JavaScript,Wordpress"
24,760454,"Al-Balqa Applied University,","Computer Systems and Networks Engineering""","Arabic,English","Network fundamentals. LAN & WAN. TCP/IP protocols.,Troubleshooting. Critical thinking. Teamwork."
25,824403,Al-Balqaa applied university(BAU),computer system engineering,"Arabic: Native Language,English: Very good","work in fast-paced environment and meet strict deadlines, complete work very effectively, be able to work independently and as part of team and can make valuable contribution to any company.,Strong analytical and problem skills An eye for detail. Strong communication Team player. Quick decision making."
26,801249,PRINCESS SUMAYA UNIVERSITY FOR TECHNOLOGY,Electrical Power and Energy Engineering,"Arabic,English","PVsyst.,SketchUp.,Microsoft Office,AutoCAD/2D,C/C++,MATLAB,PSIM.,Problem Solving,Project Management,Time Management,Leadership,Teamwork,Quick-Learning,Detail-Oriented,Work Under Pressure,Creativity"
27,547057,Jordan University of Science and Technology-JUST,Electrical Engineering,"Arabic,English","Communication,Team Working,Fast Learning,Committed,Enthusiasm and Personal Drive,CCNA,FTTX,Embedded System,MS Office,AutoCAD,MATlab,Arduino,SCADA,DIALux,Revit,PLC,C++"
28,820615,Yarmouk University -,"Civil Engineer,Civil Engineering","English,Arabic","Construction management,Stress analysis tools,2D and 3D modeling,AutoCAD proficiency,Structural analysis,Budgeting,Design instruction creation,Airfield design,Project Management,Technical reports,Commercial and residential planning,Boosted brand awareness and generated leads while managing internal and external marketing campaigns and programs.,Coordinated meetings between project members and clients to develop ideas, discuss progress and set goals.,Maintained documentation, detailing assignments, in-progress work and completed project milestones.,Generated reports detailing campaign performance, customer engagement and engagement trends.,Completed late check-ins and directed guests to rooms and facilities.,Answered phone within Number minutes throughout shift, closely following strict guidelines for customer service and satisfaction.,Promoted hotel brands loyalty program via social media, email and direct mail.,Contacted housekeeping staff and maintenance department to resolve issues with guest rooms."
29,529632,"Al-Balqa Applied University,Isra University",Communication Technology Engineering,"English: Very Good,German: B1,Arabic: Mother Tongue","Project management,Time and effort management,Mathematical representation,Analytical thinking"
30,796472,"Jordan University of Science and Technology,Al Balqa Applied University - Faculty of Engineering and Technology",Unknown,English,"Microsoft Word/ Power Point/ Excel,Matlab,Labview"
31,826364,Albalqa Applied University,Electrical Power Engineering,"ARABIC: Native Speaker,ENGLISH: Advanced","Communication Skills,MS Office,Critical Thinking,Teamwork,Problem Solving,Decision Maker,Leadership Skills"
32,687787,"YARMOUK University - Jordan,","Communication Engineering,","German,Arabic: Native,,English: Fluent,,German: Level B1","WORK UNDER PRESSURE,C++, MATLAB, AUTOCAD,SOLUTION PROVIDING,TIME MANAGEMENT,TEAM WORKING,MICROSOFT OFFICE,COMMUNICATION"
33,736333,"Al Balqa Applied University,",Civil Engineering/Surveying and Geomatics,English,"Knowledge in JS, CSS, HTML5, Bootstrap, Rest API, NoSQL, React.js, Mongo DB, Vs code, Git.,Skillful in Microsoft Office: Power Point, Word and Excel.,Excellent negotiation and persuasion skills.,Demonstrated ability to multitask and work under pressure. Strong personality and great communication skills. Ability to work in teams & individually with demonstrated leadership skills."
34,600170,"THE UNIVERSITY OF JORDAN,WADI ALSIR TRAINING COLLEGE","Bachelor of electrical engineering,Diploma of industrial electronics","ARABIC,ENGLISH","PLC FULL PACKAGE [ 80 HOURS ],WIRELESS COMMUNICATION, OPTICAL FIBER AND MICROWAVE TRANSMISSION [ 80 HOURS ],AUTOCAD,C++,MATLAB,MULTISIM,TIA,PORTAL,PLC &,SCADA,Python,MS OFFICE"
35,716581,Balqa Applied University/ Faculty of Engineering Technology,Telecommunications Engineering,Very good English skills,"multitasking skills,Time management,Excellent in Excel,Very Organised,Flexible,Planning skills,Computer skills"
36,826148,"ALYARMOUK University.,ALBALQAA Applied University","Power Electrical Engineering,HVAC Systems","ARABIC,ENGLISH","MATLAB, POWERWORD, AUTOCAD,MS OFFICE, PSPICE, PVSYST,TYPING SPEED - 30WPM"
37,421397,Unknown,Electrical Engineer- Power Bachelor Degree,"Arabic,English","Customer service skills,Rapport building skills,Presentation skills,Communication skills,Organization skills,Closing sales skills,Microsoft windows office- Word, PowerPoint, Excel,,OneNote, spreadsheets, presentations online and,OneDrive,AutoCAD"
38,403471,"Yarmouk University (YU),",Computer Engineering,"Arabic (Mother language),English Good in reading, writing and speaking.",Unknown
39,831137,Yarmouk University,Communication Engineering,"Arabic: Native,English: Very Good,French Certifed Delf(A1)","C++,Microsoft Visual studio,Microsoft Office (powerpoint, word, excel),Excellent Team Player(leardership),Excellent Communications Skills,Organizational Skills,Administrative skills,Have a good background Technical Support beside an Excellent Communications Skills,Have a good background about arduino programming,Ability to project a positive and creative working environment,Ability to lead and motivate teams,Self-Motivated, Self-Confident, Ambitious and Creative,Experiment and learn new technologies"
40,454081,Yarmouk University,Electrical Power Engineering,"Arabic,English","Electrical Shop Drawings, As Built Drawings.,Develop Electrical drawings using AutoCAD, Revit,Navisworks.,Coordinate Electrical systems with other services.,Identified issues, analyzed information and provided solutions to problems.,Developed team communications and information for meetings.,Planning all Electrical works, Time Schedule & all preparing daily report and daily target.,Testing & Commissioning for all Electrical works ""AC & DC"".,Read and interpreted blueprints, diagrams and schematics to correctly coordinate work.,Verified on-time deliverables within budget parameters through effective management of project milestones.,Leadership & Teamwork.,Problem solving & analytical skills.,Strategic thinking & planning abilities.,Time management & project management.,Technical Support.,Lighting System: Types of Lighting fixture and selection, External Lighting, Emergency Lighting, Lighting Control.,Power System: Sockets types, power for mechanical, Circuit Breakers, Generators, Transformer, voltage Drop.,Earthing and Lightening.,Cables and Cable Routing.,Fire Alarm.,CCTV.,Data & Telephone."
41,742731,Al-Balqa Applied University - Faculty Of Engineering Technology,Electrical Engineering/Communications,"Arabic Native language,English - very good in reading, writing, and conversation","Microsoft Office Package: Word, Excel and PowerPoint Proposal preparation Leadership Strategic planning Data analysis Negotiation and analytical skills Team work Problem solving Communication skills"
42,456400,Mutah University,Communication Engineering,"Arabic: Native Language,English: Very Good Command","Projects Scheduling & Time Management skills,Strong analytical ability & troubleshooting skills,Teamwork & Problem Solving,Microsoft Office,AutoCAD skills,Dialux Software"
43,821013,AL- BALQA APPLIED UNIVERSITY,ELECTRIC POWER ENGINEERING,"Arabic: Native.,English: Intermediate.","AUTOCAD, MATLAB, Microsoft Office and OrCAD Capture,Intermediate level in industrial control; Classic control and PLC,Capability of working, communication and learning from others.,Capability of working under pressure."
44,821254,"City University London,University of Karachi,University of Karachi","Telecommunications and Networks,Physics (Electronics),Physics",English,"Advanced skills in Path loss, Map Info, Google Map, Ufones Network Management System Software for updating Network sites details, U2000 and NCE for MW Level details at site, Understanding of XML and OPNET.,Excellent communication skills in English (both verbal & written).,Arranged a Cricket league in our University. Possess Good negotiation skills."
45,760100,BALQA APPLIED UNIVERSTY,SOFTWARE ENGINEERING,"Arabic,English","Good knowledge in object-oriented programing languages.,Database and SQL commands knowledge.,Testing automation tools.,Good knowledge in quality assurance procedures and concepts.,Extensive knowledge of the full software testing life cycle.,Knowledge of functional, reliability and performance testing.,understanding of computer programming languages: C++ Java.,Ability to learn new software quickly.,Excellent problem solver,advanced internet and email skills,Logical thinking and problem solving,Software debugging,Computer programming,Coding,Oral and written communication,Ability to grow within a fast-paced environment,Excellent communication and people skills.,Ability to multi-task and work within strict deadlines, Work under pressure.,Ability to think, investigate and solve problems creatively, Self-motivated.,MS Office (Word, Excel, Power Point)."
46,824812,Al-Balqaa Applied University,Civil engineering,"Arabic (native speaker),English (full professional proficiency)","Ms Office,Active listener,Team work,Creative,Project managing,Hard working,Punctuality"
47,742318,Petra university,E-business,"English - Advanced,Arabic - Advanced",Unknown
48,758870,The University of Jordan,Electrical Engineering,"Arabic,English","MATLAB, Python, C++, Linux/Unix Simulators: ANSYS HFSS, Multisim, Atoll, ETAP, Wireshark Proficient in Microsoft Office Suite"
49,566001,University of Technology,Optoelectronics Engineering,Unknown,"Resolve all critical, major and minor issues and technical queries within a defined SLA.,Preparing daily report of the network issues.,Monitor network performance statistics, provide good evaluation, and recommend remedial action where necessary.,Handle customer escalations and customer interests and provide a solution.,Applies the analytical skills and technical knowledge to solve product and network issues of moderate to high complexity.,SDH, PDH and OTN.,Huawei OptiX OSN ( 500, 550, 580, 1500, 2500, 3500, 7500, 8800, 9800), Nokia- Alcatel (1830-PSS),U2000, NCE-T Huawei Management System, NFM- T Nokia Management System and 1350 OMS Nokia Management System,Troubleshooting and alarms analyzing of optical networks.,SDH and OTN protection schemes.,TCP/IP & OSI.,VLANs,routing protocols,Automatically Switched Optical Network (ASON) and OSPF and LMP protocols.,LO+L1+L2 layers of OTN.,hardware and software testing of SDH and OTN devices.,Testing and replacement the faulty equipment.,listens to the team and provide a solution for the problems.,Deal with customers and ability to handle customer escalations and customer interests.,work in a stressful environment.,make a decision within approved delegation.,Systematic approach to work with the ability to foresee problems and preparing contingency plans,Troubleshooting,Nokia Optical Network Management with NFM-T,Nokia Routing & Switching,Problem resolution verification,Calculating the Power of the line after the splicing is done and computing the additional loss,On-site supervision,Rerouting ASON channels after the nominal path has been recovered,Make a list with the affected links when an operation or fiber cut appeared,Open tickets with carrier and vendor for network issues,Make a daily activity handover of issues and operations that we faced in our network,Switching off the RAMAN Amplifier when an operation on the line occurs and switch it on after the operation finished,Activate and Deactivate services on Nokia Alcatel-DWD"
50,816799,"Al-Balqa Applied University,University of Bradford",Electrical Engineering,"Arabic - Fluent,English - Professional working proficiency","Strong verbal and written communication skills.,Interpersonal, detail-oriented and a team player.,Critical thinking abilities.,MATLAB Simulink,AutoCAD,MS Office"
51,527831,"Yarmouk University, Jordan",Communication Engineering,"Arabic,English","Teamwork,Fast Learning,Work under pressure,Creativity,Leadership,Communication Skills,C++ C# Android Python ICDL Microsoft Office"
52,819140,Institute of Aviation Engineering and Technology (IAET),Electronics and Communication Engineering,"Arabic,English","Good Communication Skills,Motivated and Organized,Problem solving,Research and Development,Work under Pressure,Access & configuring all network devices (Routers, switches) with Full privilege for troubleshooting,Troubleshooting and investigating core routing protocols problems (OSPF -BGP - MPBGP L2/L3 VPN - LDP) services on routers,VMware Workstation,Office Skills (Word, Excel and Power Point),Operating System (Windows, Linux(CentOS)),Establish the networking environment by designing system configuration and directing system,Configure routing and switching equipment"
53,822332,"Yarmouk University,Queen Rania Center for Jordanian Studies,Teleprobe",Communications Engineering,"Arabic,English,French","computer programs such as MS Word, MS Excel, MS PowerPoint and Internet Explorer,Responsive to projects requirements, open to change and able to adjust to shifting priorities,Meticulous, thorough and detailed, able to meet deadlines and juggle multiple tasks,Remarkable communication skills,Up keeping and maintenance,Trained staff on handling new hardware,Briefed management on exploiting maximum system benefits,Incorporated Oracle into Administration processes,Installed vital software used by company personnel on daily basis,Handled network maintenance"
54,642110,Al-Balqa Applied University/FET,B.A. in Computer and Networks Engineering,"Arabic,English","Good computer skills,Problem-solving skills,Good communication skills,Emotional intelligence skills,Ability to audit and follow-up"
55,828428,Kennesaw State University,Electrical Engineering,"Arabic: Native Language,English: Fluent","Proficient in AutoCAD,Proficient in Microsoft Office,Competent in Capital Harness,Competent in SmarTeam,Multitasking,Problem Solving,Critical Thinking,Team Player,Attention to Detail"
56,696858,Al-Yarmouk University,Electrical Power Engineering,Unknown,"Good knowledge of low voltage systems and PLC programming.,Good knowledge of Network Administration.,Excellent skills with installation for electromechanical connection and Ethernet connection.,Efficient in time management and able to fulfil deadline requirements.,Work closely with clients.,Team leading and team member skills.,Excellent knowledge of designing Concepts.,. Good knowledge in programming languages.,. Capable of reading or writing Diagrams and instructions for electrical panels or equipment.,Research and quality control."
57,813267,"Jordan University of Science & Technology,Yarmouk University",Computer Engineering,"Arabic,English","Python,PL/SQL,HTML,Java Script,?,c#,C++,Assembly,Microsoft Office (PowerPoint, Excel, Word,...),Excellent dealing with operating system,Computer Hardware Skills,Critical Thinking & Problem Solving"
58,820548,Al-Balqa Applied University (BAU)- Faculty of Engineering Technology (FET),Mechanical Engineering,Good in English language,"Knowledge of reading and understanding( machines, devices,....) catalogues,Very good in all fields of mechanical engineering,Good Researcher in mechanical engineering field,Knowledge in using many of measuring devices,Knowledge in Electric connections,Knowledge in Electric classic control,Very good in using many of computer Programs, such as (AutoCAD, Microsoft Excel, Microsoft word, Microsoft power point,...),Dealing with compressed air system of the factory,Dealing with steam boiler system of the factory,Dealing with HVAC system of the factory,Dealing with the Generator of the factory,Dealing with Some of factory machines"
59,820549,"Jordan University of Science and Technology,Al Balqa Applied University - Faculty of Engineering and Technology","electrical engineering,electrical engineering",English,"Microsoft Word/Power Point/ Excel,Matlab,Labview"
60,826209,Yarmouk University,Unknown,English,"AutoCAD,ETAP,DIAlux EVO,MS Office,Revit MEP"
61,406904,Al-Balqaa Applied University,B.A in Telecom Engineering,"Arabic,English","Projects delivery responsibility - time plans set up, risk management, corrective action, material inventory, installations, projects closure and O&M handover activities.,BSS Integration &,Commissioning,Financial management,GPON, FTTX & DWDM,KPIs Monitoring,Logistics Management,Management Skills,Networks Management & Support,Procurement Management,Projects Delivery,QA/QC,Technical Incidents Handling,Transmission"
62,823071,Al-Balqa Applied University,Electrical Power Engineering,Unknown,"Microsoft Office,AutoCAD,MATLAB,Google Sketch up,CYME7.2(CYMDIST),Clamp meter,Power system analysis(fluke/clou meter),Electrical Wiring,Design Robots,Design using fusion 360.,Creativity,Tinker cad,Share point,MOE program"
63,795542,"Princess Sumaya University for Technology- Amman, Jordan",Engineering: Electrical Power and Energy Engineering,"Arabic, Native Speaker,English","Autocad,Psim,MATLAB,Patience,Communication,Microsoft Office,Leadership,Teamwork &,Management"
64,783178,"Al-Balqa applied university,Al-Balqa Applied University","Communication technology Engineering,Communications Engineering",Arabic / English,"Management,Decision making,Problem solving,Adaptability,Budgeting,Team work"
65,405942,Philadelphia University,"B.Sc. Degree in Network Engineering (Management Systems And Business Networks),Network Engineering (Management Systems And Business Networks)","Arabic as Native Language,English as Second Language","Excellent communication skills across all levels; ability to communicate with ease the complex and technical concepts.,Excellent Leadership and Management Skills.,High ability to work under pressure, and commit to targets.,High ability to learn, adapt & advance.,Self-motivated and Hard-worker.,Microsoft Office (Excel, Power Point, Outlook, Word),Huawei U2000 Management System (2G/3G/4G/Microwave),Google Earth"
66,817246,"An Najah National University,",Electrical Engineering,"Arabic (Native Language),English (Fluent in writing & Speaking)","Self motivated, ambitious & confident,Good analytical (Numerical & Verbal),Innovative & creative in problem solving & decision making,Ability to communicate & interact with different types of people (team leader),Very good communication, presentation and negotiation skills,Ability to work in teams,Microsoft Office,AutoCAD,PLC,Arduino,Dialux"
67,828887,"University of Jordan,Jubilee School",Electrical Engineering,"Arabic (native),English (proficient)","Troubleshooting Python Organisation,Problem Solving Programming MATLAB & Simulink"
68,820958,Tafila Technical University,MECHATRONICS ENGINEERING,Unknown,"Problem-solving,Communication,Critical Thinking,Leadership,Project Management,Presentations skills"
69,804114,"Zarqa Secondary school,Modern science & arts university",Communication & electronics engineering,"English,Arabic","V.Good in Spying Programs.,V.Good in LABVIWE,Good knowledge in C++ programming language."
70,412166,"Al Hussien Bin Talal University, Jordan-Maan",Unknown,Unknown,"Troubleshooting,Field Engineering,Engineering Support,Field Installations,Microsoft office suite,Hardware Installations & and Configuration,Voice and Data cabling installation."
71,633276,"University of Pavia,Princess Sumaya University for Technology,Moraine Valley Community College,Jordan University of Science and Technology,Princess Sumaya University,University of Pavia","Microwave Engineering,Wireless Communications,Optical Communications","Arabic,English,Italian","Programming skills such as VB, C/C++, HTML, Python and Matlab,Image processing in Matlab, QGIS & ENVI,Networking (Academic CCNA),Aircom International cellular network planning management & optimization tool,Simulation with ANSYS HFSS and CST Microwave Studio,CAD design with Autocad and VISI,Filter design with MICIAN microwave wizard,Machine Leaning,Internet of things,GIS,Blockchain"
72,757275,Al-Balqa Applied University,Mechatronics Engineering,"Arabic,English","Self-motivated and ability to take the initiative.,Work under pressure.,Good administrative and organizational skills.,Work effectively as team member.,Good communication skills both in oral and written.,Complex problem solver.,Python,C++,PLC,MS Office,Project management"
